1620423778.0 35.54 0.0 0.0
1620423779.0222692 36.77 3.96 145.60920000000002
1620423780.0445654 36.77 3.96 145.60920000000002
1620423781.0675933 36.77 3.96 145.60920000000002
1620423782.0898738 36.84 3.98 146.62320000000003
1620423783.1127672 36.87 4.0 147.48
1620423784.135767 36.87 4.01 147.84869999999998
1620423785.157926 36.87 4.0200000000000005 148.2174
1620423786.1811383 36.87 4.0200000000000005 148.2174
1620423787.2038891 36.87 4.01 147.84869999999998
1620423788.2264104 36.96 3.99 147.4704
1620423789.248922 36.96 3.97 146.7312
1620423790.2706792 36.96 3.96 146.3616
1620423791.2930515 36.96 3.95 145.99200000000002
1620423792.315778 36.96 3.97 146.7312
1620423793.33835 36.96 3.99 147.4704
1620423794.3612647 36.96 4.01 148.2096
1620423795.384306 37.01 4.01 148.41009999999997
1620423796.4069643 37.06 4.0 148.24
1620423797.4294302 37.06 3.97 147.12820000000002
1620423798.452577 37.06 3.95 146.38700000000003
1620423799.4748988 37.06 3.96 146.7576
1620423800.497093 37.06 3.97 147.12820000000002
1620423801.5202422 37.06 4.0 148.24
1620423802.542536 37.06 4.01 148.6106
1620423803.565577 37.06 4.01 148.6106
1620423804.5883617 37.13 3.99 148.14870000000002
1620423805.6102083 37.15 3.96 147.114
1620423806.632966 37.15 3.94 146.37099999999998
1620423807.6559882 37.15 3.96 147.114
1620423808.6782753 37.15 3.99 148.2285
1620423809.7018273 37.15 4.01 148.9715
1620423810.7233524 37.15 4.01 148.9715
1620423811.7458575 37.15 4.0 148.6
1620423812.7687116 37.15 3.98 147.857
1620423813.790408 37.15 3.96 147.114
1620423814.8131456 37.18 3.95 146.86100000000002
1620423815.8356035 37.22 3.96 147.3912
1620423816.8576312 37.22 3.98 148.13559999999998
1620423817.8796873 37.25 3.99 148.6275
1620423818.9027276 37.25 4.01 149.3725
1620423819.9257998 37.25 4.01 149.3725
1620423820.94898 37.25 4.01 149.3725
1620423821.9714236 37.25 4.01 149.3725
1620423822.9935048 37.25 4.0200000000000005 149.745
1620423824.015185 37.25 4.01 149.3725
1620423825.037093 37.25 4.01 149.3725
1620423826.0588086 37.25 4.01 149.3725
1620423827.0815253 37.25 4.01 149.3725
1620423828.1045377 37.25 4.01 149.3725
1620423829.1268895 37.25 4.01 149.3725
1620423830.149896 37.25 3.99 148.6275
1620423831.172919 37.29 3.98 148.4142
1620423832.1953528 37.34 3.97 148.23980000000003
1620423833.2174468 37.34 3.96 147.8664
1620423834.2406204 37.34 3.95 147.49300000000002
1620423835.2628012 37.34 3.95 147.49300000000002
1620423836.2855654 37.34 3.96 147.8664
1620423837.306841 37.34 3.98 148.6132
1620423838.3295295 37.34 4.0 149.36
1620423839.3534214 37.34 4.01 149.73340000000002
1620423840.375691 37.34 4.0200000000000005 150.10680000000002
1620423841.3979535 37.34 4.01 149.73340000000002
1620423842.4207919 37.34 4.0 149.36
1620423843.4434247 37.34 3.98 148.6132
1620423844.466253 37.34 3.96 147.8664
1620423845.4891853 37.34 3.96 147.8664
1620423846.5116882 37.37 3.95 147.6115
1620423847.533637 37.39 3.94 147.3166
1620423848.5565403 37.44 3.95 147.888
1620423849.5791943 37.44 3.96 148.26239999999999
1620423850.6028473 37.44 3.96 148.26239999999999
1620423851.6257446 37.44 3.98 149.0112
1620423852.6481946 37.44 3.98 149.0112
1620423853.6706588 37.44 3.98 149.0112
1620423854.6932771 37.44 3.98 149.0112
1620423855.7159526 37.44 3.98 149.0112
1620423856.7382076 37.44 3.96 148.26239999999999
1620423857.7610335 37.44 3.96 148.26239999999999
1620423858.78366 37.44 3.96 148.26239999999999
1620423859.8064399 37.44 3.94 147.5136
1620423860.829261 37.44 3.96 148.26239999999999
1620423861.8521643 37.44 3.96 148.26239999999999
1620423862.8741608 37.44 3.98 149.0112
1620423863.8962815 37.44 3.99 149.3856
1620423864.9187195 37.44 4.01 150.13439999999997
1620423865.9411862 37.44 4.01 150.13439999999997
1620423866.9634755 37.44 4.0200000000000005 150.5088
1620423867.9863112 37.44 4.01 150.13439999999997
1620423869.0089846 37.44 4.01 150.13439999999997
1620423870.0317156 37.46 3.99 149.46540000000002
1620423871.0541923 37.51 3.98 149.28979999999999
1620423872.0771332 37.53 3.96 148.6188
1620423873.099627 37.53 3.94 147.8682
1620423874.1225798 37.53 3.95 148.2435
1620423875.1453454 37.53 3.96 148.6188
1620423876.1671817 37.53 3.98 149.3694
1620423877.1897304 37.53 3.99 149.74470000000002
1620423878.212503 37.53 4.01 150.4953
1620423879.2349849 37.53 4.01 150.4953
1620423880.257485 37.53 4.01 150.4953
1620423881.2799325 37.53 4.01 150.4953
1620423882.3031645 37.53 4.0200000000000005 150.87060000000002
1620423883.326269 37.53 4.01 150.4953
1620423884.3485765 37.53 4.01 150.4953
1620423885.3703258 37.53 4.01 150.4953
1620423886.3934152 37.53 4.01 150.4953
1620423887.4160788 37.53 3.99 149.74470000000002
1620423888.4386857 37.53 3.99 149.74470000000002
1620423889.460618 37.53 3.98 149.3694
1620423890.482926 37.53 3.98 149.3694
1620423891.5057518 37.53 3.96 148.6188
1620423892.528088 37.53 3.96 148.6188
1620423893.5503547 37.53 3.94 147.8682
1620423894.5728045 37.53 3.94 147.8682
1620423895.5952232 37.56 3.94 147.9864
1620423896.6177526 37.53 3.96 148.6188
1620423897.6402051 37.53 3.96 148.6188
1620423898.6628602 37.53 3.98 149.3694
1620423899.6858275 37.56 3.98 149.4888
1620423900.708345 37.56 3.99 149.86440000000002
1620423901.7305884 37.56 3.99 149.86440000000002
